ID,SCORE,VIEW COUNT,BODY,OWNER ID,OWNER NAME,TITLE,TAGS
11227809,25933,1649855,"<p>Here is a piece of C++ code that shows some very peculiar behavior. For some strange reason sorting the data (<em>before</em> the timed region) miraculously makes the loop almost six times faster.</p><pre class=""lang-cpp prettyprint-override""><code>#include &lt;algorithm&gt;#include &lt;ctime&gt;#include &lt;iostream&gt;int main(){    // Generate data    const unsigned arraySize = 32768;    int data[arraySize];    for (unsigned c = 0; c &lt; arraySize; ++c)        data[c] = std::rand() % 256;    // !!! With this the next loop runs faster.    std::sort(data data + arraySize);    // Test    clock_t start = clock();    long long sum = 0;    for (unsigned i = 0; i &lt; 100000; ++i)    {        for (unsigned c = 0; c &lt; arraySize; ++c)        {   // Primary loop            if (data[c] &gt;= 128)                sum += data[c];        }    }    double elapsedTime = static_cast&lt;double&gt;(clock()-start) / CLOCKS_PER_SEC;    std::cout &lt;&lt; elapsedTime &lt;&lt; '\n';    std::cout &lt;&lt; &quot;sum = &quot; &lt;&lt; sum &lt;&lt; '\n';}</code></pre><ul><li>Without <code>std::sort(data data + arraySize);</code> the code runs in 11.54 seconds.</li><li>With the sorted data the code runs in 1.93 seconds.</li></ul><p>(Sorting itself takes more time than this one pass over the array so it's not actually worth doing if we needed to calculate this for an unknown array.)</p><hr /><p>Initially I thought this might be just a language or compiler anomaly so I tried Java:</p><pre class=""lang-java prettyprint-override""><code>import java.util.Arrays;import java.util.Random;public class Main{    public static void main(String[] args)    {        // Generate data        int arraySize = 32768;        int data[] = new int[arraySize];        Random rnd = new Random(0);        for (int c = 0; c &lt; arraySize; ++c)            data[c] = rnd.nextInt() % 256;        // !!! With this the next loop runs faster        Arrays.sort(data);        // Test        long start = System.nanoTime();        long sum = 0;        for (int i = 0; i &lt; 100000; ++i)        {            for (int c = 0; c &lt; arraySize; ++c)            {   // Primary loop                if (data[c] &gt;= 128)                    sum += data[c];            }        }        System.out.println((System.nanoTime() - start) / 1000000000.0);        System.out.println(&quot;sum = &quot; + sum);    }}</code></pre><p>With a similar but less extreme result.</p><hr /><p>My first thought was that sorting brings the data into the <a href=""https://en.wikipedia.org/wiki/CPU_cache"" rel=""noreferrer"">cache</a> but then I thought how silly that was because the array was just generated.</p><ul><li>What is going on?</li><li>Why is processing a sorted array faster than processing an unsorted array?</li></ul><p>The code is summing up some independent terms so the order should not matter.</p><hr /><p><strong>Related / followup Q&amp;As</strong> about the same effect with different / later compilers and options:</p><ul><li><a href=""https://stackoverflow.com/q/66521344"">Why is processing an unsorted array the same speed as processing a sorted array with modern x86-64 clang?</a></li><li><a href=""https://stackoverflow.com/q/28875325"">gcc optimization flag -O3 makes code slower than -O2</a></li></ul>",87234,,Why is processing a sorted array faster than processing an unsorted array?,<java><c++><performance><cpu-architecture><branch-prediction>
927358,23348,10062790,"<p>I accidentally <strong>committed the wrong files</strong> to <a href=""https://en.wikipedia.org/wiki/Git"" rel=""noreferrer"">Git</a> but didn't push the commit to the server yet.</p><p>How can I <strong>undo those commits from the local repository</strong>?</p><p>The only way seems to be to copy the edits in some kind of GUI text editor then wipe the whole local clone then re-clone the repository then re-applying the edits. However</p><ul><li>This can cause data loss.</li><li>It's very hard to do this when only an accidental <code>git commit</code> was run.</li></ul><p>Is there a better way?</p>",89904,,How do I undo the most recent local commits in Git?,<git><version-control><git-commit><undo>
2003505,18514,9285139,"<p>I want to delete a branch both locally and remotely.</p><h3>Failed Attempts to Delete a Remote Branch</h3><pre class=""lang-sh prettyprint-override""><code>$ git branch -d remotes/origin/bugfixerror: branch 'remotes/origin/bugfix' not found.$ git branch -d origin/bugfixerror: branch 'origin/bugfix' not found.$ git branch -rd origin/bugfixDeleted remote branch origin/bugfix (was 2a14ef7).$ git pushEverything up-to-date$ git pullFrom github.com:gituser/gitproject* [new branch] bugfix -&gt; origin/bugfixAlready up-to-date.</code></pre><p>What should I do differently to successfully delete the <code>remotes/origin/bugfix</code> branch both locally and remotely?</p>",95592,,How do I delete a Git branch locally and remotely?,<git><version-control><git-branch><git-push><git-remote>
292357,12834,3041604,<p>What are the differences between <code>git pull</code> and <code>git fetch</code>?</p>,6068,J. Pablo Fern&#225;ndez,What is the difference between 'git pull' and 'git fetch'?,<git><version-control><git-pull><git-fetch>
231767,11551,2681330,"<p>What is the use of the <code>yield</code> keyword in Python? What does it do?</p><p>For example I'm trying to understand this code<sup><strong>1</strong></sup>:</p><pre><code>def _get_child_candidates(self distance min_dist max_dist):    if self._leftchild and distance - max_dist &lt; self._median:        yield self._leftchild    if self._rightchild and distance + max_dist &gt;= self._median:        yield self._rightchild  </code></pre><p>And this is the caller:</p><pre><code>result candidates = [] [self]while candidates:    node = candidates.pop()    distance = node._get_dist(obj)    if distance &lt;= max_dist and distance &gt;= min_dist:        result.extend(node._values)    candidates.extend(node._get_child_candidates(distance min_dist max_dist))return result</code></pre><p>What happens when the method <code>_get_child_candidates</code> is called?Is a list returned? A single element? Is it called again? When will subsequent calls stop?</p><hr /><sub>1. This piece of code was written by Jochen Schulz (jrschulz) who made a great Python library for metric spaces. This is the link to the complete source: <a href=""https://well-adjusted.de/~jrspieker/mspace/"" rel=""noreferrer"">Module mspace</a>.</sub> ",18300,Alex. S.,"What does the ""yield"" keyword do?",<python><iterator><generator><yield><coroutine>
477816,10921,3269028,"<p>I've been messing around with <a href=""http://en.wikipedia.org/wiki/JSON"" rel=""noreferrer"">JSON</a> for some time just pushing it out as text and it hasn't hurt anybody (that I know of) but I'd like to start doing things properly.</p><p>I have seen <em>so</em> many purported ""standards"" for the JSON content type:</p><pre><code>application/jsonapplication/x-javascripttext/javascripttext/x-javascripttext/x-json</code></pre><p>But which one is correct or best? I gather that there are security and browser support issues varying between them.</p><p>I know there's a similar question <em><a href=""https://stackoverflow.com/questions/404470/what-mime-type-if-json-is-being-returned-by-a-rest-api"">What MIME type if JSON is being returned by a REST API?</a></em> but I'd like a slightly more targeted answer.</p>",12870,Oli,What is the correct JSON content type?,<json><rest><http-headers><mime-types><content-type>
348170,10079,3985243,<p>I mistakenly added files to Git using the command:</p><pre><code>git add myfile.txt</code></pre><p>I have not yet run <code>git commit</code>. Is there a way to undo this so these files won't be included in the commit?</p>,14069,ceretullis,How do I undo 'git add' before commit?,<git>
5767325,9931,8937271,"<p>I have an array of numbers and I'm using the <code>.push()</code> method to add elements to it.</p><p>Is there a simple way to remove a specific element from an array?</p><p>I'm looking for the equivalent of something like:</p><pre class=""lang-js prettyprint-override""><code>array.remove(number);</code></pre><p>I have to use <em>core</em> JavaScript. Frameworks are not allowed.</p>",364969,,How can I remove a specific item from an array?,<javascript><arrays>
6591213,9792,3729583,"<p>I don't want to rename a remote branch as described in <em><a href=""https://stackoverflow.com/questions/1526794/rename-master-branch-for-both-local-and-remote-git-repositories?answertab=votes#tab-top"">Rename master branch for both local and remote Git repositories</a></em>.</p><p>How can I rename a local branch which hasn't been pushed to a remote repository?</p><p>In case you need to rename a <strong>remote</strong> branch as well:<br /><em><a href=""https://stackoverflow.com/questions/30590083/how-to-rename-a-remote-git-branch-name/30590238#30590238"">How do I rename both a Git local and remote branch name?</a></em></p>",338204,,How do I rename a local Git branch?,<git><version-control><git-branch>
1642028,9560,877861,"<p>After reading <a href=""http://groups.google.com/group/comp.lang.c++.moderated/msg/33f173780d58dd20"" rel=""noreferrer"">Hidden Features and Dark Corners of C++/STL</a> on <code>comp.lang.c++.moderated</code> I was completely surprised that the following snippet compiled and worked in both Visual Studio 2008 and G++ 4.4.</p><p>Here's the code:</p><pre><code>#include &lt;stdio.h&gt;int main(){    int x = 10;    while (x --&gt; 0) // x goes to 0    {        printf(&quot;%d &quot; x);    }}</code></pre><p>Output:</p><pre><code>9 8 7 6 5 4 3 2 1 0</code></pre><p>I'd assume this is C since it works in GCC as well. Where is this defined in the standard and where has it come from?</p>",87234,,"What is the ""-->"" operator in C/C++?",<c++><c><operators><code-formatting><standards-compliance>
